"FiberNumber=""PS-212983-1"""								
"OperatorName=""Иванов Иван Иванович"""								
DateTimeMeasurement=2021-12-13 16-28-51-2023								
X_MM	Fi	Diameter	UpPointY_PX	DownPointY_PX			Dср	157,626721
6	109	156,121	789	834				
0	110	158,7	789	835				
1	110	158,616	789	834				
2	110	155,954	789	834				
3	110	155,572	789	834				
4	110	155,393	789	834				
5	110	155,99	789	834				
6	110	157,494	788	834				
0	111	157,219	789	834				
1	111	155,405	789	834				
2	111	155,322	789	834				
3	111	155,584	789	834				
4	111	157,864	788	834				
5	111	159,046	788	834				
6	111	158,915	788	834				
0	112	157,458	789	834				
1	112	155,441	789	834				
2	112	155,369	789	834				
3	112	155,584	788	834				
4	112	157,888	788	834				
5	112	159,07	788	834				
6	112	158,939	788	834				
0	113	155,262	789	834				
1	113	155,489	789	834				
2	113	157,781	788	834				
3	113	158,807	788	834				
4	113	158,748	788	834				
5	113	158,987	788	834				
6	113	157,518	788	833				
0	114	155,298	789	834				
1	114	155,572	789	834				
2	114	157,829	788	834				
3	114	158,819	788	834				
4	114	158,748	788	834				
5	114	158,927	788	834				
6	114	157,255	788	833				
0	115	155,548	789	834				
1	115	157,888	788	834				
2	115	158,724	788	834				
3	115	158,831	788	834				
4	115	158,175	788	834				
5	115	156,014	788	833				
6	115	156,11	788	833				
0	116	155,393	789	834				
1	116	157,315	788	834				
2	116	158,712	788	834				
3	116	158,843	788	834				
4	116	158,39	788	833				
5	116	156,157	788	833				
6	116	156,098	788	833				
0	117	158,676	788	834				
1	117	158,688	788	834				
2	117	158,688	788	834				
3	117	156,575	788	833				
4	117	155,345	788	833				
5	117	156,193	788	833				
6	117	157,315	787	833				
0	118	158,7	788	834				
1	118	158,031	788	833				
2	118	155,346	788	833				
3	118	155,728	788	833				
4	118	155,751	787	833				
5	118	159,07	787	833				
6	118	158,987	787	833				
0	119	157,506	788	833				
1	119	155,704	787	833				
2	119	156,217	787	833				
3	119	158,21	787	833				
4	119	158,724	787	833				
5	119	159,237	787	833				
6	119	158,616	787	833				
0	120	155,525	788	833				
1	120	157,996	787	833				
2	120	158,7	787	833				
3	120	158,843	787	833				
4	120	158,437	787	832				
5	120	156,121	787	834				
6	120	156,145	787	832				
0	121	158,557	787	833				
1	121	158,724	787	833				
2	121	158,7	787	833				
3	121	158,342	787	832				
4	121	155,334	787	832				
5	121	156,241	787	834				
6	121	157,637	786	832				
0	122	158,7	787	833				
1	122	156,897	787	832				
2	122	155,393	787	832				
3	122	155,751	787	832				
4	122	158,27	786	832				
5	122	159,237	786	833				
6	122	158,903	786	832				
0	123	156,611	787	832				
1	123	156,336	786	832				
2	123	158,616	786	832				
3	123	158,927	786	832				
4	123	158,7	786	832				
5	123	159,094	786	833				
6	123	156,862	786	831				
0	124	157,398	787	832				
1	124	155,99	787	832				
2	124	158,306	786	832				
3	124	158,939	786	832				
4	124	158,7	786	832				
5	124	159,213	786	833				
6	124	157,244	786	831				
0	125	158,7	786	832				
1	125	158,724	786	832				
2	125	158,652	786	832				
3	125	156,682	786	831				
4	125	155,369	786	831				
5	125	157,59	785	832				
6	125	158,939	785	831				
0	126	158,7	786	832				
1	126	158,628	786	831				
2	126	155,644	786	831				
3	126	155,763	786	831				
4	126	157,112	785	831				
5	126	159,225	785	832				
6	126	158,903	785	831				
0	127	158,688	785	831				
1	127	158,724	785	831				
2	127	158,7	785	831				
3	127	158,939	785	831				
4	127	156,324	785	830				
5	127	156,277	785	831				
6	127	157,673	785	830				
0	128	158,712	785	831				
1	128	158,831	785	831				
2	128	156,861	785	830				
3	128	155,859	785	830				
4	128	156,491	784	830				
5	128	159,213	784	830				
6	128	158,891	784	830				
0	129	157,661	785	830				
1	129	156,551	784	830				
2	129	158,437	784	830				
3	129	158,975	784	830				
4	129	158,7	784	830				
5	129	159,237	784	830				
6	129	156,957	784	829				
0	130	158,7	784	830				
1	130	158,784	784	830				
2	130	158,7	784	830				
3	130	158,819	784	829				
4	130	155,656	784	829				
5	130	156,838	783	829				
6	130	158,772	783	829				
0	131	158,736	784	830				
1	131	158,831	784	830				
2	131	157,41	784	829				
3	131	156,038	784	829				
4	131	156,933	783	829				
5	131	159,177	783	829				
6	131	158,843	783	829				
0	132	158,724	784	830				
1	132	156,372	783	829				
2	132	158,008	783	829				
3	132	158,987	783	829				
4	132	158,7	783	829				
5	132	159,166	783	829				
6	132	157,602	783	828				
0	133	157,243	783	829				
1	133	158,628	783	829				
2	133	158,7	783	829				
3	133	159,01	783	829				
4	133	158,7	783	829				
5	133	156,957	783	828				
6	133	157,016	782	828				
0	134	158,724	783	829				
1	134	158,796	783	829				
2	134	158,7	783	829				
3	134	158,163	783	828				
4	134	155,465	783	828				
5	134	158,688	782	828				
6	134	158,843	782	828				
0	135	157,924	782	828				
1	135	158,784	782	828				
2	135	158,7	782	828				
3	135	159,034	782	828				
4	135	158,342	782	828				
5	135	156,444	782	827				
6	135	157,864	781	827				
0	136	158,736	782	828				
1	136	158,831	782	828				
2	136	158,676	782	828				
3	136	157,136	782	827				
4	136	156,825	781	827				
5	136	159,177	781	827				
6	136	158,831	781	827				
0	137	158,784	782	828				
1	137	157,756	782	827				
2	137	156,945	781	827				
3	137	159,094	781	827				
4	137	158,819	781	827				
5	137	159,082	781	827				
6	137	158,795	781	826				
0	138	158,772	781	827				
1	138	158,807	781	827				
2	138	158,7	781	827				
3	138	158,903	781	827				
4	138	155,966	781	826				
5	138	158,569	780	826				
6	138	158,796	780	826				
0	139	158,772	781	827				
1	139	158,915	781	827				
2	139	157,422	781	827				
3	139	157,721	780	826				
4	139	158,879	780	826				
5	139	159,07	780	826				
6	139	158,807	780	826				
0	140	157,733	780	826				
1	140	158,772	780	826				
2	140	158,7	780	826				
3	140	158,891	780	826				
4	140	158,724	780	825				
5	140	156,921	780	825				
6	140	158,461	779	825				
0	141	158,807	780	826				
1	141	157,29	780	825				
2	141	158,64	779	825				
3	141	159,154	779	825				
4	141	158,831	779	825				
5	141	158,998	779	825				
6	141	158,616	779	824				
0	142	158,807	779	825				
1	142	158,772	779	825				
2	142	158,7	779	825				
3	142	158,843	779	825				
4	142	157,148	779	824				
5	142	157,78	778	824				
6	142	158,807	778	824				
0	143	158,784	779	825				
1	143	159,046	779	825				
2	143	157,172	779	825				
3	143	158,759	778	824				
4	143	158,915	778	824				
5	143	159,046	778	824				
6	143	158,748	778	824				
0	144	158,27	778	824				
1	144	158,748	778	824				
2	144	158,7	778	824				
3	144	158,855	778	824				
4	144	158,557	778	823				
5	144	156,611	777	823				
6	144	158,796	777	823				
0	145	158,736	778	824				
1	145	156,587	777	824				
2	145	158,7	777	824				
3	145	159,357	777	823				
4	145	158,867	777	823				
5	145	158,879	777	823				
6	145	158,246	777	822				
0	146	158,784	777	823				
1	146	158,819	777	823				
2	146	158,7	777	823				
3	146	158,652	777	822				
4	146	156,515	777	822				
5	146	159,106	776	822				
6	146	158,807	776	822				
0	147	158,784	777	823				
1	147	158,807	777	823				
2	147	157,22	777	823				
